Transaction,Product1,Product2,Product3,Product4,Product5,Product6,Product7,Product8,Product9,Product10,Product11,Product12,Product13,Product14,Product15,Product16,Product17,Product18,Product19,Product20,Product21,Product22
1,Bedside Table African Cherry,Chicken Meat,Green Chili Pepper,Ice Cream,Rice,Soft Drinks,Strawberry,Mug Tree Stand,Plate,Slotted Turner,Spoon,Green and Black Glasses,,,,,,,,,,
2,Annibale Colombo Bed,Bedside Table African Cherry,Knoll Saarinen Executive Conference Chair,Chicken Meat,Potatoes,Strawberry,House Showpiece Plant,Carbon Steel Wok,Silver Pot With Glass Cap,Tray,Green and Black Glasses,,,,,,,,,,,
3,Calvin Klein CK One,Chanel Coco Noir Eau De,Beef Steak,Cat Food,Cooking Oil,Eggs,Fish Steak,Green Bell Pepper,Ice Cream,Citrus Squeezer Yellow,Fork,Lunch Box,Silver Pot With Glass Cap,Spice Rack,Vaseline Men Body and Face Lotion,,,,,,,
4,Calvin Klein CK One,Chanel Coco Noir Eau De,Annibale Colombo Sofa,Beef Steak,Cat Food,Cooking Oil,Eggs,Fish Steak,Green Chili Pepper,Kiwi,Lemon,Milk,Nescafe Coffee,Fine Mesh Strainer,Hand Blender,Ice Cube Tray,Yellow Peeler,Olay Ultra Moisture Shea Butter Body Wash,Black Sun Glasses,,,
5,Calvin Klein CK One,Chanel Coco Noir Eau De,Knoll Saarinen Executive Conference Chair,Beef Steak,Cat Food,Cooking Oil,Eggs,Honey Jar,Potatoes,Water,Chopping Board,Spice Rack,Olay Ultra Moisture Shea Butter Body Wash,Classic Sun Glasses,,,,,,,,
6,Calvin Klein CK One,Chanel Coco Noir Eau De,Knoll Saarinen Executive Conference Chair,Beef Steak,Cat Food,Chicken Meat,Cooking Oil,Cooking Oil,Eggs,Eggs,Fish Steak,Honey Jar,Mulberry,Rice,Black Whisk,Carbon Steel Wok,Hand Blender,Knife,Spoon,Classic Sun Glasses,,
7,"Dior J'adore",Dolce Shine Eau de,Beef Steak,Cooking Oil,Fish Steak,Juice,Lemon,Strawberry,Water,House Showpiece Plant,Chopping Board,Slotted Turner,Spice Rack,Party Glasses,,,,,,,,
8,Calvin Klein CK One,Chanel Coco Noir Eau De,"Dior J'adore",Annibale Colombo Bed,Annibale Colombo Sofa,Knoll Saarinen Executive Conference Chair,Plant Pot,Glass,Grater Black,Ice Cube Tray,Classic Sun Glasses,,,,,,,,,,,
9,Apple,Beef Steak,Dog Food,Green Bell Pepper,Potatoes,Soft Drinks,Tissue Paper Box,Black Aluminium Cup,Carbon Steel Wok,Egg Slicer,Fork,Ice Cube Tray,Knife,Red Tongs,Olay Ultra Moisture Shea Butter Body Wash,,,,,,,
10,Chicken Meat,Cooking Oil,Lemon,Nescafe Coffee,Protein Powder,Bamboo Spatula,Black Aluminium Cup,Kitchen Sieve,Pan,Plate,,,,,,,,,,,,
11,Calvin Klein CK One,Soft Drinks,Table Lamp,Egg Slicer,Fork,Glass,Lunch Box,Silver Pot With Glass Cap,Yellow Peeler,,,,,,,,,,,,,
12,Chanel Coco Noir Eau De,Wooden Bathroom Sink With Mirror,Eggs,Honey Jar,Potatoes,Protein Powder,Decoration Swing,House Showpiece Plant,Bamboo Spatula,Black Whisk,Electric Stove,Grater Black,Silver Pot With Glass Cap,Attitude Super Leaves Hand Soap,Green and Black Glasses,,,,,,,
13,Dolce Shine Eau de,Bedside Table African Cherry,Knoll Saarinen Executive Conference Chair,Beef Steak,Chicken Meat,Nescafe Coffee,Protein Powder,Red Onions,Black Aluminium Cup,Carbon Steel Wok,Citrus Squeezer Yellow,Electric Stove,Fork,Yellow Peeler,Party Glasses,,,,,,,
14,Calvin Klein CK One,Knoll Saarinen Executive Conference Chair,Green Bell Pepper,Honey Jar,Juice,Nescafe Coffee,Potatoes,Red Onions,Glass,Attitude Super Leaves Hand Soap,Classic Sun Glasses,Party Glasses,,,,,,,,,,
15,Bedside Table African Cherry,Apple,Soft Drinks,House Showpiece Plant,Table Lamp,Knife,Slotted Turner,Spice Rack,Attitude Super Leaves Hand Soap,,,,,,,,,,,,,
16,"Dior J'adore",Dolce Shine Eau de,Gucci Bloom Eau de,Bedside Table African Cherry,Beef Steak,Chicken Meat,Dog Food,Green Bell Pepper,Ice Cream,Nescafe Coffee,Boxed Blender,Electric Stove,Fork,Ice Cube Tray,Yellow Peeler,,,,,,,
17,"Dior J'adore",Juice,Kiwi,Red Onions,Black Aluminium Cup,Glass,Hand Blender,Pan,Party Glasses,,,,,,,,,,,,,
18,Chanel Coco Noir Eau De,"Dior J'adore",Knoll Saarinen Executive Conference Chair,Fish Steak,Honey Jar,Kitchen Sieve,Slotted Turner,Spoon,Tray,Yellow Peeler,Olay Ultra Moisture Shea Butter Body Wash,Party Glasses,,,,,,,,,,
19,Dolce Shine Eau de,Cooking Oil,Dog Food,Honey Jar,Ice Cream,Milk,Mulberry,Rice,Plant Pot,Citrus Squeezer Yellow,Grater Black,Lunch Box,Red Tongs,Yellow Peeler,,,,,,,,
20,"Dior J'adore",Gucci Bloom Eau de,Kiwi,Strawberry,Water,Decoration Swing,Boxed Blender,Carbon Steel Wok,Mug Tree Stand,Attitude Super Leaves Hand Soap,,,,,,,,,,,,
21,Calvin Klein CK One,Gucci Bloom Eau de,Knoll Saarinen Executive Conference Chair,Beef Steak,Chicken Meat,Dog Food,Green Chili Pepper,Nescafe Coffee,Protein Powder,Strawberry,Bamboo Spatula,Black Whisk,Chopping Board,Fork,Plate,Red Tongs,Tray,Wooden Rolling Pin,Wooden Rolling Pin,Classic Sun Glasses,Green and Black Glasses,
22,Bedside Table African Cherry,Beef Steak,Green Chili Pepper,Ice Cream,Ice Cream,Mulberry,Nescafe Coffee,Ice Cube Tray,Knife,Microwave Oven,Olay Ultra Moisture Shea Butter Body Wash,,,,,,,,,,,
23,Calvin Klein CK One,"Dior J'adore",Dolce Shine Eau de,Gucci Bloom Eau de,Cat Food,Dog Food,Dog Food,Protein Powder,Rice,Water,Black Aluminium Cup,Boxed Blender,Carbon Steel Wok,Egg Slicer,Ice Cube Tray,Microwave Oven,Mug Tree Stand,Silver Pot With Glass Cap,Slotted Turner,Olay Ultra Moisture Shea Butter Body Wash,,
24,Chanel Coco Noir Eau De,Dolce Shine Eau de,Gucci Bloom Eau de,Knoll Saarinen Executive Conference Chair,Green Bell Pepper,Honey Jar,Lemon,Potatoes,Strawberry,Family Tree Photo Frame,Bamboo Spatula,Black Whisk,Fork,Grater Black,Ice Cube Tray,Silver Pot With Glass Cap,Slotted Turner,Tray,Sunglasses,,,
25,Calvin Klein CK One,Chanel Coco Noir Eau De,Gucci Bloom Eau de,Cucumber,Dog Food,Fish Steak,Green Chili Pepper,Ice Cream,Lemon,Milk,Strawberry,Black Whisk,Boxed Blender,Kitchen Sieve,Plate,Tray,Wooden Rolling Pin,,,,,
26,Calvin Klein CK One,Bedside Table African Cherry,Knoll Saarinen Executive Conference Chair,Wooden Bathroom Sink With Mirror,Apple,Dog Food,Green Bell Pepper,Mulberry,Red Onions,Strawberry,Family Tree Photo Frame,Plant Pot,Grater Black,Lunch Box,Red Tongs,Yellow Peeler,,,,,,
27,Calvin Klein CK One,Dog Food,Eggs,Fish Steak,Honey Jar,Mulberry,Potatoes,Red Onions,Soft Drinks,Boxed Blender,Carbon Steel Wok,Citrus Squeezer Yellow,Fork,Glass,Ice Cube Tray,Ice Cube Tray,Lunch Box,Pan,Spice Rack,Spoon,Spoon,Classic Sun Glasses
28,Dolce Shine Eau de,Dolce Shine Eau de,Gucci Bloom Eau de,Knoll Saarinen Executive Conference Chair,Beef Steak,Chicken Meat,Fish Steak,Honey Jar,Red Onions,Rice,Soft Drinks,Water,Bamboo Spatula,Black Aluminium Cup,Egg Slicer,Glass,Hand Blender,Lunch Box,Pan,Black Sun Glasses,Sunglasses,
29,Calvin Klein CK One,Bedside Table African Cherry,Cooking Oil,Eggs,Green Bell Pepper,Honey Jar,Rice,Decoration Swing,Decoration Swing,Plant Pot,Table Lamp,Bamboo Spatula,Chopping Board,Fork,Grater Black,Knife,Silver Pot With Glass Cap,Slotted Turner,Party Glasses,,,
30,Dolce Shine Eau de,Gucci Bloom Eau de,Cat Food,Dog Food,Fish Steak,Ice Cream,Potatoes,Protein Powder,Water,Bamboo Spatula,Fork,Grater Black,Grater Black,Kitchen Sieve,Red Tongs,Spoon,Wooden Rolling Pin,Green and Black Glasses,,,,
31,Bedside Table African Cherry,Beef Steak,Chicken Meat,Dog Food,Eggs,Green Chili Pepper,Family Tree Photo Frame,Fine Mesh Strainer,Fine Mesh Strainer,Ice Cube Tray,Plate,Red Tongs,Sunglasses,,,,,,,,,
32,Gucci Bloom Eau de,Annibale Colombo Sofa,Honey Jar,Potatoes,Soft Drinks,Tissue Paper Box,Decoration Swing,Black Aluminium Cup,Carbon Steel Wok,Kitchen Sieve,Kitchen Sieve,Knife,Microwave Oven,Mug Tree Stand,Pan,Spoon,Olay Ultra Moisture Shea Butter Body Wash,Vaseline Men Body and Face Lotion,,,,
33,Calvin Klein CK One,Beef Steak,Dog Food,Milk,Mulberry,Soft Drinks,Plant Pot,Black Aluminium Cup,Carbon Steel Wok,Chopping Board,Glass,Slotted Turner,Spice Rack,Attitude Super Leaves Hand Soap,Vaseline Men Body and Face Lotion,,,,,,,
34,"Dior J'adore",Dolce Shine Eau de,Cat Food,Strawberry,Table Lamp,Black Aluminium Cup,Egg Slicer,Egg Slicer,Fork,Hand Blender,Spice Rack,Attitude Super Leaves Hand Soap,Olay Ultra Moisture Shea Butter Body Wash,,,,,,,,,
35,Wooden Bathroom Sink With Mirror,Cat Food,Chicken Meat,Lemon,Tissue Paper Box,Decoration Swing,Boxed Blender,Chopping Board,Citrus Squeezer Yellow,Knife,Lunch Box,Microwave Oven,Red Tongs,Spoon,Tray,Vaseline Men Body and Face Lotion,Party Glasses,,,,,
36,Chanel Coco Noir Eau De,Gucci Bloom Eau de,Annibale Colombo Sofa,Bedside Table African Cherry,Beef Steak,Cooking Oil,Dog Food,Honey Jar,Ice Cream,Lemon,Potatoes,Soft Drinks,Strawberry,Carbon Steel Wok,Fork,Hand Blender,Kitchen Sieve,Lunch Box,Plate,Wooden Rolling Pin,Black Sun Glasses,Green and Black Glasses
37,Bedside Table African Cherry,Apple,Juice,Kiwi,Mulberry,Soft Drinks,Fine Mesh Strainer,Ice Cube Tray,Pan,Vaseline Men Body and Face Lotion,,,,,,,,,,,,
38,Knoll Saarinen Executive Conference Chair,Beef Steak,Chicken Meat,Dog Food,Green Bell Pepper,Strawberry,Water,Table Lamp,Bamboo Spatula,Egg Slicer,Fork,Glass,Knife,Microwave Oven,Yellow Peeler,Olay Ultra Moisture Shea Butter Body Wash,Olay Ultra Moisture Shea Butter Body Wash,Black Sun Glasses,Party Glasses,,,
39,Chanel Coco Noir Eau De,Chanel Coco Noir Eau De,Dolce Shine Eau de,Wooden Bathroom Sink With Mirror,Chicken Meat,Cooking Oil,Juice,Nescafe Coffee,Rice,Water,Carbon Steel Wok,Citrus Squeezer Yellow,Fork,Lunch Box,Microwave Oven,Spice Rack,Tray,Tray,Olay Ultra Moisture Shea Butter Body Wash,Green and Black Glasses,,
40,Calvin Klein CK One,Chanel Coco Noir Eau De,"Dior J'adore",Dolce Shine Eau de,Bedside Table African Cherry,Cat Food,Cucumber,Dog Food,Ice Cream,Juice,Lemon,Protein Powder,Soft Drinks,Strawberry,Tissue Paper Box,Tissue Paper Box,Water,Kitchen Sieve,Knife,Mug Tree Stand,Red Tongs,Red Tongs
41,Knoll Saarinen Executive Conference Chair,Apple,Apple,Eggs,Kiwi,Kiwi,Lemon,Protein Powder,Table Lamp,Egg Slicer,Electric Stove,Fork,Grater Black,Grater Black,Hand Blender,Kitchen Sieve,Knife,Lunch Box,Wooden Rolling Pin,Green and Black Glasses,Party Glasses,
42,Gucci Bloom Eau de,Annibale Colombo Bed,Annibale Colombo Sofa,Bedside Table African Cherry,Beef Steak,Cucumber,Fish Steak,Green Chili Pepper,Lemon,Nescafe Coffee,Family Tree Photo Frame,Bamboo Spatula,Hand Blender,Kitchen Sieve,Microwave Oven,Pan,Plate,Slotted Turner,Yellow Peeler,Yellow Peeler,Attitude Super Leaves Hand Soap,
43,Calvin Klein CK One,"Dior J'adore",Bedside Table African Cherry,Beef Steak,Cooking Oil,Eggs,Nescafe Coffee,Tissue Paper Box,Bamboo Spatula,Boxed Blender,Carbon Steel Wok,Citrus Squeezer Yellow,Egg Slicer,Ice Cube Tray,Lunch Box,,,,,,,
44,Calvin Klein CK One,Annibale Colombo Sofa,Chicken Meat,Ice Cream,Juice,Milk,Mulberry,Nescafe Coffee,Plant Pot,Black Aluminium Cup,Carbon Steel Wok,Fine Mesh Strainer,Fork,Knife,Plate,Plate,Red Tongs,Wooden Rolling Pin,Yellow Peeler,,,
45,Gucci Bloom Eau de,Mulberry,Water,Chopping Board,Grater Black,Spice Rack,Spoon,Olay Ultra Moisture Shea Butter Body Wash,Black Sun Glasses,Sunglasses,,,,,,,,,,,,
46,Chanel Coco Noir Eau De,"Dior J'adore",Bedside Table African Cherry,Fish Steak,Juice,Potatoes,Red Onions,Black Whisk,Egg Slicer,Glass,Ice Cube Tray,Spice Rack,Wooden Rolling Pin,Green and Black Glasses,Party Glasses,,,,,,,
47,Wooden Bathroom Sink With Mirror,Cat Food,Cucumber,Eggs,Ice Cream,Juice,Red Onions,Soft Drinks,Black Whisk,Chopping Board,Grater Black,Ice Cube Tray,Kitchen Sieve,Microwave Oven,Mug Tree Stand,Spoon,Spoon,Sunglasses,,,,
48,Chicken Meat,Eggs,Green Bell Pepper,Ice Cream,Lemon,Nescafe Coffee,Nescafe Coffee,Decoration Swing,Boxed Blender,Pan,Plate,Red Tongs,Silver Pot With Glass Cap,Yellow Peeler,Olay Ultra Moisture Shea Butter Body Wash,Party Glasses,,,,,,
49,Lemon,Milk,Nescafe Coffee,Potatoes,Water,Decoration Swing,House Showpiece Plant,House Showpiece Plant,Boxed Blender,Egg Slicer,Fork,Hand Blender,Mug Tree Stand,Spoon,Vaseline Men Body and Face Lotion,Green and Black Glasses,Green and Black Glasses,,,,,
50,Chanel Coco Noir Eau De,Dolce Shine Eau de,Gucci Bloom Eau de,Annibale Colombo Bed,Annibale Colombo Bed,Chicken Meat,Green Bell Pepper,Honey Jar,Honey Jar,Milk,Mulberry,Black Aluminium Cup,Boxed Blender,Fine Mesh Strainer,Grater Black,Kitchen Sieve,Knife,Attitude Super Leaves Hand Soap,,,,
51,Knoll Saarinen Executive Conference Chair,Cooking Oil,Honey Jar,Soft Drinks,House Showpiece Plant,Plant Pot,Table Lamp,Bamboo Spatula,Black Aluminium Cup,Black Whisk,Ice Cube Tray,Lunch Box,Pan,Yellow Peeler,,,,,,,,
52,Chanel Coco Noir Eau De,Wooden Bathroom Sink With Mirror,Eggs,Milk,Black Aluminium Cup,Egg Slicer,Electric Stove,Hand Blender,Lunch Box,Slotted Turner,Spice Rack,Spoon,Attitude Super Leaves Hand Soap,Olay Ultra Moisture Shea Butter Body Wash,Sunglasses,,,,,,,
